'ลำดับ','หมายเลขบ่อ','พิกัดออก','พิกัดเหนือ','UTM โซน (ออก-ตก)','Latitude','Longitude','หมู่ที่','สถานที่เจาะ','ตำบล','อำเภอ','จังหวัด','ประเภทบ่อ','สภาพน้ำ','ความลึกเจาะ','ความลึกพัฒนา','ปริมาณน้ำ','ระดับน้ำปกติ',ระยะน้ำลด
51,'งฒ8502',769346.0,1412707.0,47.0,12.767273027994001,101.48079766429001,05,บ้านนายฟยอม,บางแม่นาง,บางใหญ่,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,,300.0,,,
52,'PW11825',646810.0,1529359.0,47.0,13.829985437481,100.35836169213002,06,โรงเรียนปรีชาธรรมชูทิศ ( 14967/1831-32 ),บางม่วง,บางใหญ่,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,210.0,,35.0,9.0,0.18
53,'5502C010',643710.0,1534526.0,47.0,13.876850108536999,100.32995013653999,08,บ้านดอนตะลุมพุก,บ้านใหม่,บางใหญ่,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,296.0,296.0,20.0,26.0,5.0
54,'DR4',643976.0,1533929.0,47.0,13.871440093174,100.33238052884,08,สถานีอนามัยดอนตะลุมพุก,บ้านใหม่,บางใหญ่,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,264.0,261.0,22.0,30.0,9.0
55,'PW8357',644644.0,1530385.0,47.0,13.839370192407,100.33837767365,09,วัดต้นเชือก ( 10501/1066-30 ),ตำบลบางใหญ่,บางใหญ่,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,183.0,178.5,40.0,20.0,15.0
56,'งฒ8503',769418.0,1412703.0,47.0,12.767230662095,101.48146002668001,10,บ้านกำนัน,บางแม่นาง,บางใหญ่,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,,300.0,,,
57,'งฒ8504',769468.0,1412979.0,47.0,12.769719790629,101.48194458180001,10,บ้านนายทวี,บางแม่นาง,บางใหญ่,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,,300.0,,,
58,'PW19228',664234.0,1535816.0,47.0,13.887403433737,100.51991904338001,??,มัสยิดประเสริฐอิสลาม,บางตลาด,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,250.0,239.95,30.0,35.0,10.0
59,'PW24398',662005.0,1537548.0,47.0,13.903186222958,100.49939632847,??,สถานสงเคราะห์เด็กปากเกร็ด,บางตลาด,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,260.0,252.51,30.0,35.0,10.0
60,'DR3',662222.0,1537475.0,47.0,13.902514040604,100.50139997455,??,สถานสงเคราะห์เด็กอ่อน,บางตลาด,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,240.0,237.0,10.0,37.0,23.0
61,'MWA62',663541.0,1541600.0,47.0,13.939723726603,100.51384727615,??,บริเวณโรงเรียนนวมินทราชินูทิศ (หอวัง),บ้านใหม่,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,350.0,321.0,85.91,42.39,4.29
62,'PW17966',663471.0,1541584.0,47.0,13.939583133252,100.51319852636,??,โรงเรียนโพธิ์นิมิตรวิทยา,บางพูด,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,250.0,239.67,20.0,33.0,10.0
63,'5502C005',659738.0,1540230.0,47.0,13.92755668177,100.47857371972,03,วัดสะพานสูง,คลองพระอุดม,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,322.0,322.0,20.0,27.0,2.0
64,'5802A044',667667.0,1540478.0,47.0,13.929341953645999,100.55196279075001,03,สวนสมเด็จพระศรีนครรินทร์นนทบุรี,บ้านใหม่,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,295.0,292.0,20.0,18.0,30.0
65,'PW24397',659800.0,1536966.0,47.0,13.898050048726999,100.4789599604,06,โรงเรียนท่าอิฐศึกษา,ท่าอิฐ,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,260.0,243.79,30.0,30.0,10.0
66,'5502C011',,,47.0,0.0,94.511256102834,10,วัดศรีเขตนันทาราม,คลองข่อย,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,290.0,290.0,20.0,27.0,3.0
67,'5502C012',650023.0,1546797.0,47.0,13.987446634789999,100.38902410882,11,โรงเรียนสามัคคีวิทยา,คลองข่อย,ปากเกร็ด,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,300.0,300.0,20.0,25.0,5.0
68,'PW4719',660774.0,1530092.0,47.0,13.835861520627999,100.48757638357999,01,วัดอมฤต,บางไผ่,เมืองนนทบุรี,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,176.0,,30.0,32.75,7.25
69,'PW17528',658369.0,1532489.0,47.0,13.857662141764,100.46546485409999,01,วัดบางนา,ไทรม้า,เมืองนนทบุรี,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,230.0,206.37,25.0,30.0,10.0
70,'PW9023',661411.0,1529271.0,47.0,13.828404709772999,100.49342153232,04,วัดสังฆทาน,บางไผ่,เมืองนนทบุรี,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,220.0,,40.0,27.0,34.0
71,'PW3372',659710.0,1530331.0,47.0,13.838081375668,100.47774759341,05,วัดป่าเรไร่,บางศรีเมือง,เมืองนนทบุรี,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,188.0,,36.0,,
72,'PW5503',660454.0,1531331.0,47.0,13.847078767809,100.48468732581,05,วัดเฉลิมพระเกียรติวรวิหาร,บางศรีเมือง,เมืองนนทบุรี,นนทบุรี,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,202.0,,9.0,30.0,12.0
